distance_mpc,h0_km_s_mpc
0.0,76.21585325932058
1.0,75.39273454491625
2.0,74.64646879052306
5.0,72.80032051211498
10.0,70.70807022028602
15.0,69.42642205361572
20.0,68.64132381295857
30.0,67.86579567724073
50.0,67.46558676161276
75.0,67.40565707720032
100.0,67.40048794179897
150.0,67.4000036301106
300.0,67.4000000000015
500.0,67.4
1000.0,67.4
14000.0,67.4
